,MAE,MAPE,RMSE,RSQUARED,MAE1,MAPE1,RMSE1,RSQUARED1,MAE2,MAPE2,RMSE2,RSQUARED2
LR_PRED,13.588726708074795,14.955182010648855,20.20048934842681,0.7238174187448245,12.938882334675512,15.498816213589983,21.24229252893801,0.6973394932758794,12.901678743881618,14.693762118729309,19.51546286180464,0.7295431135841981
FFILL_PRED,16.699999999999992,23.02065307249431,27.822514096328426,0.4760796757718738,16.0,23.143519373358764,27.550626261287828,0.49088495039115976,15.0,24.39922428490608,27.967319510298676,0.44455377488874137
COUNTY_MEAN_PRED,18.5982620508887,19.793845875257958,27.54567131268938,0.48645414774758167,17.943833703130267,19.680465057969958,27.490109725082895,0.49311909499489204,18.598926767676815,19.899520103115343,26.520968606159006,0.5005188597575532
EXP0.25_PRED,17.958265469571877,19.01618010117856,26.686449660109837,0.5179921591907406,17.28247124063951,18.93830393512366,26.63082497977519,0.5243119678384165,17.673433918089337,19.12305940453197,25.673470742168885,0.5319314088846849
EXP0.5_PRED,16.967546872754212,18.145157797623508,25.656193207638914,0.554490531269415,16.352134146185193,18.105329113240597,25.58801558375339,0.5608365406175544,16.71336204947511,18.24819365576241,24.66359494607033,0.5680304935994531
EXP1_PRED,14.937766512290622,16.041750908072505,22.88220764609107,0.6456206978564438,14.429841844973772,16.09513882142496,22.744855239386304,0.6530080987359861,14.358708728984574,16.076092798663815,21.97115048691681,0.6571959619826537
EXP2_PRED,9.654014849781781,11.069598499380723,15.469686265103096,0.838029651738321,9.305459308006427,11.011397762555685,15.123894326283168,0.8465806096056269,9.12316315262094,10.921336918045023,15.010503428841456,0.8399959971277647
EXP4_PRED,6.336510634960625,8.354737293827766,11.567892082357657,0.9094307105076476,6.286615315741962,8.234612983052559,11.30202899766688,0.9143226907320577,6.238697585102543,8.166696568720717,11.352647080409485,0.9084760814592755
EXP8_PRED,6.323928743706539,8.721129677018693,12.164570843391978,0.8998465099237223,6.68990178976199,8.730033086066708,11.896669424561889,0.9050699363213629,6.211527753808014,8.536749590800504,11.898327772464084,0.89946617908321
EXP16_PRED,6.758610765298748,9.355292600368697,12.94141144682957,0.8866462756495201,7.136711469461858,9.46726426256742,12.807086163467144,0.8899845582038107,6.982807976297586,9.3177352460515,12.719881676347677,0.8851035859597999
K1_PRED,8.0,10.746856011730873,14.582172461419502,0.8560813871337107,8.100000000000001,10.57899402190962,14.30949424737868,0.8626585737341946,8.0,10.620132736643729,14.107473214314846,0.8586685546741649
K2_MEAN_PRED,6.5,8.894376607622101,12.320028549004093,0.8972703206936934,6.500000000000014,8.772486847313333,12.035516253066692,0.9028411352276164,6.25,8.618651827489302,12.065392816553217,0.8966231574233908
K2_WEIGHTED_PRED,6.476948364595287,8.775599022099694,12.088795053896703,0.9010903799211912,6.625644232317612,8.69124245109753,11.846785659168015,0.9058643672231257,6.437091055140542,8.610562219521691,12.01395048422867,0.8975027987418007
K3_MEAN_PRED,6.566666666666677,8.481106875864675,11.598912689920391,0.9089443156862869,6.000000000000007,8.537969422485254,11.99356947752672,0.9035172007885706,6.0,8.202975521861996,11.560950779361718,0.9050866207773539
K3_WEIGHTED_PRED,6.387252428103068,8.322230261809294,11.351873682754285,0.9127817027551688,6.177875159085794,8.358171274465095,11.632831176411209,0.9092338665966121,6.137406619029939,8.14442625180476,11.462206133464251,0.9067010490768278
K4_MEAN_PRED,6.262500000000017,8.291401520872082,11.71725572574956,0.9070767650176647,5.987499999999979,8.411970117102639,11.982631365167567,0.9036931047955614,6.224999999999994,8.269147041447672,11.452386104012099,0.9068608448381963
K4_WEIGHTED_PRED,6.172075976045086,8.103736616636555,11.279303922342704,0.9138932689900501,5.877434382749236,8.137859856665198,11.490509847777103,0.9114412285771802,6.033083943413814,8.105856945221518,11.232198446607837,0.9104078688829808
K5_MEAN_PRED,6.400000000000006,8.545517895809136,12.03182463057398,0.9020204387324605,6.410000000000011,8.494412171002963,12.042514405304669,0.9027281146992251,6.0,8.21452712092779,11.513422644254039,0.905865411953555
K5_WEIGHTED_PRED,6.235531712561027,8.233194153348402,11.407534097549034,0.9119243098221319,6.2084115622887595,8.162753570229542,11.472959956381686,0.9117115403299724,6.0164921254824435,8.015986947958382,11.178154247289969,0.9112679474199749
K10_MEAN_PRED,6.839999999999986,9.317066606141735,13.120803326249058,0.8834819104245079,6.734999999999999,9.291538266829237,13.251794715333462,0.8822116376988399,7.0349999999999895,8.895149484207828,12.284085879164941,0.8928416495770055
K10_WEIGHTED_PRED,6.7466124808060215,8.68190509767778,11.961078626313478,0.9031692725805905,6.229165019620339,8.552502162728596,12.007783601839993,0.9032883729704877,6.448545571620059,8.313867389928209,11.481322774154997,0.9063895820151563
K5_EXP2WEIGHTED_PRED,6.085354337149802,8.117866028644587,11.226313989682927,0.9147004237513118,6.283648855527289,8.031335599745299,11.223625263751442,0.915507278229045,5.793378352527661,7.981392922717729,11.083808948545396,0.9127594501616731
K10_EXP2WEIGHTED_PRED,6.259637496499877,8.286035496163716,11.40696673882522,0.9119330705706159,6.064282576225523,8.161949094730028,11.346631349861976,0.9136451221408999,6.1154115308666945,8.07651166241213,11.142564194888088,0.9118320747343562
FULL_LR_PRED,8.026866219421422,9.718430670429244,12.7259620551902,0.8903890979325451,7.498902881585394,9.396528082362599,12.396938085740526,0.8969182343589883,7.593219653523036,9.310115464315267,12.476136372433315,0.8894648110260553
FULL_HAV_LR_PRED,5.96832542946585,7.588689799558406,10.014075079008785,0.932127446236117,5.9061420604907795,7.615705262135915,10.009764379567944,0.9327951379752629,5.906380091858303,7.328990737287618,9.605401336496868,0.9344803811303174
FULL_HAV_LR_EXP2_PRED,5.619908041144328,7.395596208160166,9.96431154500748,0.9328003363255692,5.562108324900919,7.633838593745777,9.98922643103259,0.9330706357697689,5.054093685661151,7.139434077112466,9.311395522055962,0.9384298968896007
